,Hour,Weekend,name,Proportion Of Bikes Available,lat,long
1440,16,False,Clay at Battery,0.5333333333333334,37.795001,-122.39997
1441,1,False,Clay at Battery,0.3246819338422391,37.795001,-122.39997
1442,16,True,Clay at Battery,0.4615384615384617,37.795001,-122.39997
1443,19,True,Clay at Battery,0.46410256410256395,37.795001,-122.39997
1449,16,False,Mechanics Plaza (Market at Battery),0.47928757254352605,37.7913,-122.399051
1450,4,False,Mechanics Plaza (Market at Battery),0.34170349537967054,37.7913,-122.399051
1451,19,True,Mechanics Plaza (Market at Battery),0.3836032388663969,37.7913,-122.399051
1452,10,False,Mechanics Plaza (Market at Battery),0.558134880928557,37.7913,-122.399051
1453,20,False,Mechanics Plaza (Market at Battery),0.34431498593812765,37.7913,-122.399051
1454,2,True,Mechanics Plaza (Market at Battery),0.3719979560551863,37.7913,-122.399051
1455,5,False,Mechanics Plaza (Market at Battery),0.34190437926878253,37.7913,-122.399051
1456,11,True,Mechanics Plaza (Market at Battery),0.36639676113360314,37.7913,-122.399051
1457,18,True,Mechanics Plaza (Market at Battery),0.3724696356275304,37.7913,-122.399051
1458,1,True,Mechanics Plaza (Market at Battery),0.3739878542510121,37.7913,-122.399051
1459,0,True,Mechanics Plaza (Market at Battery),0.3750000000000002,37.7913,-122.399051
1460,6,False,Mechanics Plaza (Market at Battery),0.34009642426677383,37.7913,-122.399051
1461,17,True,Mechanics Plaza (Market at Battery),0.3572874493927126,37.7913,-122.399051
1462,21,True,Mechanics Plaza (Market at Battery),0.387651821862348,37.7913,-122.399051
1463,13,True,Mechanics Plaza (Market at Battery),0.35309146653040363,37.7913,-122.399051
1464,23,True,Mechanics Plaza (Market at Battery),0.38917004048583004,37.7913,-122.399051
1465,22,True,Mechanics Plaza (Market at Battery),0.3871457489878542,37.7913,-122.399051
1466,0,False,Mechanics Plaza (Market at Battery),0.3408999598232222,37.7913,-122.399051
1467,5,True,Mechanics Plaza (Market at Battery),0.3739878542510121,37.7913,-122.399051
1468,10,True,Mechanics Plaza (Market at Battery),0.37145748987854255,37.7913,-122.399051
1469,3,False,Mechanics Plaza (Market at Battery),0.3417034953796705,37.7913,-122.399051
1470,14,True,Mechanics Plaza (Market at Battery),0.340316811446091,37.7913,-122.399051
1471,13,False,Mechanics Plaza (Market at Battery),0.5003001801080647,37.7913,-122.399051
1472,16,True,Mechanics Plaza (Market at Battery),0.3436234817813766,37.7913,-122.399051
1473,1,False,Mechanics Plaza (Market at Battery),0.3408999598232221,37.7913,-122.399051
1474,4,True,Mechanics Plaza (Market at Battery),0.3739878542510123,37.7913,-122.399051
1475,19,False,Mechanics Plaza (Market at Battery),0.3394937725994375,37.7913,-122.399051
1476,9,True,Mechanics Plaza (Market at Battery),0.37246963562753066,37.7913,-122.399051
1477,7,True,Mechanics Plaza (Market at Battery),0.3714574898785425,37.7913,-122.399051
1478,20,True,Mechanics Plaza (Market at Battery),0.38512145748987847,37.7913,-122.399051
1479,22,False,Mechanics Plaza (Market at Battery),0.33848935315387707,37.7913,-122.399051
